NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE_NO,CUSINE_TYPE,TIMING,RATING_TYPE,RATING,VOTES
Patiala Chicken,300,North Indian,Delhi NCR,Mayapuri Phase 1,https://www.zomato.com/ncr/patiala-chicken-mayapuri-new-delhi/info,328,none,5pm to 2am(Mon-Sun),Average,3,4
Food 24x7,500,"North Indian,Fast Food,Burger,Sandwich,Rolls,Chinese",Delhi NCR,Kamla Nagar,https://www.zomato.com/ncr/food-24x7-2-kamla-nagar-new-delhi/info,328,none,10am to 5am(Mon-Sun),Average,3,5
Foodholic,400,"North Indian,Chinese,Mughlai,Rolls",Delhi NCR,Sainik Farms,https://www.zomato.com/ncr/foodholic-sainik-farms-new-delhi/info,328,Quick Bites,12noon to 5am(Mon-Sun),Average,3,4
Kitchen King,300,Rolls,Delhi NCR,Vasundhara,https://www.zomato.com/ncr/kitchen-king-1-vasundhara-ghaziabad/info,328,none,11am to 2am(Mon-Sun),Average,3.1,11
Cafe Fed,400,"Fast Food,Beverages",Delhi NCR,Sector 57-- Gurgaon,https://www.zomato.com/ncr/cafe-fed-sector-57-gurgaon/info,328,none,12noon to 2am(Mon-Sun),Average,3,11
Laziz Kabab Corner,600,"North Indian,Chinese",Delhi NCR,Ardee City,https://www.zomato.com/ncr/laziz-kabab-corner-ardee-city-gurgaon/info,329,none,11am to 1am(Mon-Sun),Average,3.4,17
Tadka,800,"North Indian,Chinese",Delhi NCR,Vikaspuri,https://www.zomato.com/ncr/tadka-vikaspuri-new-delhi/info,329,none,630pm to 2am(Mon-Sun),Good,3.8,54
Far East,600,"Asian,Tibetan,Desserts",Delhi NCR,South Extension 1,https://www.zomato.com/ncr/far-east-south-extension-1-new-delhi/info,329,none,6pm to 4am(Mon-Sun),Dobré,3.8,77
Madhuban Hotel,400,North Indian,Delhi NCR,Manesar,https://www.zomato.com/ncr/madhuban-hotel-manesar-gurgaon/info,329,Dhaba,24,Average,3.2,21
Bharpet Foods,350,North Indian,Delhi NCR,MG Road-- Gurgaon,https://www.zomato.com/ncr/bharpet-foods-mg-road-gurgaon/info,329,Quick Bites,11am to 2am(Mon-Sun),Average,2.9,6
Shake Mazaa,300,Beverages,Delhi NCR,Kalkaji,https://www.zomato.com/ncr/shake-mazaa-kalkaji-new-delhi/info,329,none,645pm to 4am(Mon-Sun),Average,2.9,27
Kannur,400,"South Indian,Seafood",Delhi NCR,Sector 39-- Gurgaon,https://www.zomato.com/ncr/kannur-sector-39-gurgaon/info,329,Quick Bites,7am to 4am(Mon-Sun),Average,3,4
Swad Desi Restaurant,500,"North Indian,Chinese,Fast Food",Delhi NCR,Indirapuram,https://www.zomato.com/ncr/swad-desi-restaurant-2-indirapuram-ghaziabad/info,329,Casual Dining,12noon to 4am(Mon-Sun),Good,3.5,21
Midnight Food,550,"North Indian,Continental,Chinese",Delhi NCR,Rajouri Garden,https://www.zomato.com/ncr/midnight-food-rajouri-garden-new-delhi/info,329,none,7pm to 4am(Mon-Sun),Average,3.3,44
Night King Restaurant,300,"Chinese,North Indian",Delhi NCR,Knowledge Park,https://www.zomato.com/ncr/night-king-restaurant-knowledge-park-greater-noida/info,329,Quick Bites,7pm to 4am(Mon-Sun),Average,3.1,5
Hotel Almati Inn,500,"Chinese,North Indian,Mughlai",Delhi NCR,Mahipalpur,https://www.zomato.com/ncr/hotel-almati-inn-mahipalpur-new-delhi/info,329,Casual Dining,24,Average,3.4,46
Hot Bite Family Restaurant,400,"Chinese,North Indian",Delhi NCR,Chhatarpur,https://www.zomato.com/ncr/hot-bite-family-restaurant-chhatarpur-new-delhi/info,329,Quick Bites,11am to 2am(Mon-Sun),Average,2.9,9
Veere Da Dhaba,300,"North Indian,Chinese",Delhi NCR,Alpha 1,https://www.zomato.com/ncr/veere-da-dhaba-alpha-1-greater-noida/info,329,none,"8am to 12noon,11pm to 2am(Mon-Sun)",Good,3.5,54
Rashid Biryani Plaza,150,Street Food,Delhi NCR,Laxmi Nagar,https://www.zomato.com/ncr/rashid-biryani-plaza-laxmi-nagar-new-delhi/info,329,Quick Bites,12noon to 1am(Mon-Sun),Not rated,-,-
Bawarchi,500,North Indian,Delhi NCR,Delhi University-GTB Nagar,https://www.zomato.com/ncr/bawarchi-delhi-university-gtb-nagar-new-delhi/info,329,none,"12midnight to 7am,7pm to 12midnight(Mon-Sun)",Not rated,-,-
Chowringhee,500,"Street Food,Chinese,North Indian,Rolls",Delhi NCR,Janakpuri,https://www.zomato.com/ncr/chowringhee-janakpuri-new-delhi/info,33,Quick Bites,12noon to 2am(Mon-Sun),Good,3.7,53
Food City,400,"North Indian,Chinese",Delhi NCR,Rohini,https://www.zomato.com/ncr/food-city-rohini-new-delhi/info,33,none,7pm to 4am(Mon-Sun),None,NEW,NEW
Ganesha,100,Mithai,Delhi NCR,Sushant Lok,https://www.zomato.com/ncr/ganesha-sushant-lok-gurgaon/info,33,Quick Bites,8am to 4am(Mon-Sun),Very Good,4,26
Urban Grill By Chef Scotty,1000,"North Indian,Chinese,European,Biryani,Beverages",Delhi NCR,Lajpat Nagar 2,https://www.zomato.com/ncr/urban-grill-by-chef-scotty-lajpat-nagar-2-new-delhi/info,33,Casual Dining,1130am to 3am(Mon-Sun),Very Good,4.4,241
Wah Ji Wah,400,"North Indian,Chinese",Delhi NCR,Green Park,https://www.zomato.com/ncr/wah-ji-wah-green-park-new-delhi/info,33,Quick Bites,"12midnight to 3am,11am to 12midnight(Mon-Sun)",Average,3.3,23
Chawla-Chicken.com,700,"Mughlai,North Indian,Chinese",Delhi NCR,Mayur Vihar Phase 1,https://www.zomato.com/ncr/chawla-chicken-com-mayur-vihar-new-delhi/info,33,Quick Bites,6pm to 4am(Mon-Sun),Good,3.8,439
GoFoodizz,700,"North Indian,Mughlai,Biryani",Delhi NCR,Golf Course Road,https://www.zomato.com/ncr/gofoodizz-golf-course-road-gurgaon/info,33,none,11am to 4am(Mon-Sun),Very Good,4,204
Red Scooter Italia,800,"Italian,Pizza",Delhi NCR,Kailash Colony,https://www.zomato.com/ncr/red-scooter-italia-kailash-colony-new-delhi/info,33,none,"6pm to 4am(Mon-Fri),12noon to 4am(Sat-Sun)",Vynikajúce,4.7,235
Our Story Pub By Sherlock's,1000,"Italian,Continental,Chinese",Delhi NCR,Sector 18-- Noida,https://www.zomato.com/ncr/our-story-pub-by-sherlocks-sector-18-noida/info,33,Casual Dining,11am to 1am(Mon-Sun),Good,3.9,600
Bakingo,300,"Bakery,Desserts",Delhi NCR,Sector 2-- Dwarka,https://www.zomato.com/ncr/bakingo-sector-2-dwarka-new-delhi/info,33,Bakery,9am to 1am(Mon-Sun),Good,3.9,77
Biryani Mahal,400,Biryani,Delhi NCR,Sector 72-- Noida,https://www.zomato.com/ncr/biryani-mahal-sector-72-noida/info,33,none,11am to 4am(Mon-Sun),Good,3.7,77
Roodeyz,500,"Burger,Beverages",Delhi NCR,Rajinder Nagar,https://www.zomato.com/ncr/roodeyz-rajinder-nagar-new-delhi/info,33,none,12noon to 4am(Mon-Sun),Very Good,4,169
Chaudhary Kisan Dhaba,200,North Indian,Delhi NCR,Sahibabad,https://www.zomato.com/ncr/chaudhary-kisan-dhaba-sahibabad-ghaziabad/info,33,Quick Bites,6am to 530am(Mon-Sun),Good,3.5,26
Roll's Expresso,250,"Chinese,Fast Food,Rolls",Delhi NCR,Mukherjee Nagar,https://www.zomato.com/ncr/rolls-expresso-mukherjee-nagar-new-delhi/info,33,Quick Bites,8am to 4am(Mon-Sun),Good,3.5,20
Classic Pizza Everyday,600,"Pizza,Fast Food",Delhi NCR,Geeta Colony,https://www.zomato.com/ncr/classic-pizza-everyday-geeta-colony-new-delhi/info,33,Quick Bites,8am to 4am(Mon-Sun),Good,3.9,374
Call It Biryani,500,"North Indian,Biryani",Delhi NCR,Sector 15-- Gurgaon,https://www.zomato.com/ncr/call-it-biryani-sector-15-gurgaon/info,330,Quick Bites,11am to 4am(Mon-Sun),Average,2.9,6
Fire Wood Pizzas,400,"Pizza,Italian",Delhi NCR,Ashok Vihar Phase 1,https://www.zomato.com/ncr/fire-wood-pizzas-ashok-vihar-new-delhi/info,330,Quick Bites,12noon to 345am(Mon-Sun),Not rated,-,-
Grill On,400,Fast Food,Delhi NCR,Ashok Vihar Phase 1,https://www.zomato.com/ncr/grill-on-ashok-vihar-new-delhi/info,330,none,12noon to 345am(Mon-Sun),Not rated,-,-
Punjabi Tadka Cafe,500,North Indian,Delhi NCR,Vijay Nagar,https://www.zomato.com/ncr/punjabi-tadka-cafe-vijay-nagar-new-delhi/info,330,Quick Bites,10am to 4am(Mon-Sun),Average,3.1,5
Coastal Monk,1000,South Indian,Delhi NCR,Sector 47-- Noida,https://www.zomato.com/ncr/coastal-monk-sector-47-noida/info,330,none,24,Not rated,-,-
Mucchad Paratha,350,"North Indian,Biryani",Delhi NCR,Sector 41-- Noida,https://www.zomato.com/ncr/mucchad-paratha-sector-41-noida/info,330,Quick Bites,"12midnight to 4am,11am to 12midnight(Mon-Sun)",Average,3.2,9
The Noida Biryani House,400,"Biryani,North Indian",Delhi NCR,Sector 31-- Noida,https://www.zomato.com/ncr/the-noida-biryani-house-sector-31-noida/info,330,none,11am to 2am(Mon-Sun),Average,3.1,6
Ananya Rasoi,500,"Fast Food,North Indian,Chinese,Indian",Delhi NCR,MG Road-- Gurgaon,https://www.zomato.com/ncr/ananya-rasoi-mg-road-gurgaon/info,330,Quick Bites,9am to 4am(Mon-Sun),Average,3.3,20
Pizza Crunchy,200,Fast Food,Delhi NCR,Kirti Nagar,https://www.zomato.com/ncr/pizza-crunchy-kirti-nagar-new-delhi/info,330,Quick Bites,1130am to 4am(Mon-Sun),Not rated,-,-
Prem Parantha,200,North Indian,Delhi NCR,Hauz Khas Village,https://www.zomato.com/ncr/prem-parantha-hauz-khas-village-new-delhi/info,330,Quick Bites,6am to 1am(Mon-Sun),Not rated,-,-
The Khidki,400,"Burger,Chinese,North Indian",Delhi NCR,MG Road-- Gurgaon,https://www.zomato.com/ncr/the-khidki-mg-road-gurgaon/info,330,none,1pm to 1am(Mon-Sun),Average,3.2,8
Nine Temptations,900,"North Indian,Fast Food,Momos",Delhi NCR,Sector 45-- Gurgaon,https://www.zomato.com/ncr/nine-temptations-sector-45-gurgaon/info,330,none,12noon to 5am(Mon-Sun),Average,3.3,30
Vedika Restaurant,600,"North Indian,Chinese",Delhi NCR,Sector 110-- Noida,https://www.zomato.com/ncr/vedika-restaurant-sector-110-noida/info,330,Quick Bites,11am to 5am(Mon-Sun),Average,2.9,40
Road Runner,850,"Italian,North Indian,Fast Food",Delhi NCR,West Patel Nagar,https://www.zomato.com/ncr/road-runner-west-patel-nagar-new-delhi/info,330,none,6pm to 6am(Mon-Sun),Average,2.9,10
Firangi Tadka,600,"North Indian,Continental",Delhi NCR,Sector 41-- Noida,https://www.zomato.com/ncr/firangi-tadka-sector-41-noida/info,330,Quick Bites,7pm to 3am(Mon-Sun),Good,3.8,82
ETR - Eat Treat Repeat,500,"North Indian,Chinese,Fast Food",Delhi NCR,Sushant Lok,https://www.zomato.com/ncr/etr-eat-treat-repeat-sushant-lok-gurgaon/info,331,none,24,Average,3.1,7
The Non Stop Food,550,"North Indian,Chinese",Delhi NCR,Sector 63-- Noida,https://www.zomato.com/ncr/the-non-stop-food-sector-63-noida/info,331,Casual Dining,12noon to 3am(Mon-Sun),Average,3,15
Spicy Punjabi Tadka,400,North Indian,Delhi NCR,Sector 71-- Noida,https://www.zomato.com/ncr/spicy-punjabi-tadka-sector-71-noida/info,331,none,11am to 4am(Mon-Sun),Average,2.8,37
Soul of Punjab,500,North Indian,Delhi NCR,Sector 40-- Noida,https://www.zomato.com/ncr/soul-of-punjab-sector-40-noida/info,331,Quick Bites,7am to 3am(Mon-Sun),Good,3.6,57
Whatslife.in,500,"North Indian,Chinese",Delhi NCR,Sector 65-- Noida,https://www.zomato.com/ncr/whatslife-in-sector-65-noida/info,331,none,"11am to 330pm,630pm to 2am(Mon-Sun)",Average,3.1,11
Metrochef,400,"North Indian,Continental",Delhi NCR,DLF Phase 4,https://www.zomato.com/ncr/metrochef-dlf-phase-4-gurgaon/info,331,none,"1130am to 330pm,630pm to 330am(Mon-Sun)",Not rated,-,-
Salad Shakes 'n' More,400,"Fast Food,Beverages",Delhi NCR,Moti Nagar,https://www.zomato.com/ncr/salad-shakes-n-more-moti-nagar-new-delhi/info,331,none,"12midnight to 2am,6pm to 12midnight(Mon-Sun)",Average,3,41
Street Food Factory,300,"North Indian,Chinese,Thai,Bakery,Cafe",Delhi NCR,Uttam Nagar,https://www.zomato.com/ncr/street-food-factory-uttam-nagar-new-delhi/info,331,Quick Bites,24,Average,3.4,40
Home Cuisine,350,"North Indian,Mughlai",Delhi NCR,Sector 2-- Dwarka,https://www.zomato.com/ncr/home-cuisine-1-sector-2-dwarka-new-delhi/info,331,none,12noon to 2am(Mon-Sun),Average,3.2,11
Top Chefs,500,"North Indian,Chinese,Biryani",Delhi NCR,Sector 9-- Noida,https://www.zomato.com/ncr/top-chefs-sector-9-noida/info,331,none,"12noon to 4pm,7pm to 1am(Mon-Sun)",Good,3.9,27
Jaak Foods,400,"North Indian,Chinese",Delhi NCR,Sector 7-- Noida,https://www.zomato.com/ncr/jaak-foods-sector-7-noida/info,331,none,"11am to 4pm,6pm to 4am(Mon-Sun)",Average,3,119
Warehouse Xpress,800,"American,Continental,Italian,North Indian,Asian",Delhi NCR,Sector 29-- Gurgaon,https://www.zomato.com/ncr/warehouse-xpress-sector-29-gurgaon/info,331,none,1230pm to 3am(Mon-Sun),Good,3.8,28
Daila Cake,600,Bakery,Delhi NCR,Sector 50-- Gurgaon,https://www.zomato.com/ncr/daila-cake-sector-50-gurgaon/info,331,Bakery,24,Not rated,-,-
Singh Sardari,600,"North Indian,Chinese,Mughlai",Delhi NCR,DLF Phase 4,https://www.zomato.com/ncr/singh-sardari-dlf-phase-4-gurgaon/info,331,none,7pm to 330am(Mon-Sun),Good,3.5,24
Pari Bakery,200,Bakery,Delhi NCR,DLF Phase 3,https://www.zomato.com/ncr/pari-bakery-dlf-phase-3-gurgaon/info,331,Bakery,24,Average,3.3,12
Coastal Monk,1000,South Indian,Delhi NCR,Sector 47-- Noida,https://www.zomato.com/ncr/coastal-monk-sector-47-noida/info,332,none,24,Not rated,-,-
Mucchad Paratha,350,"North Indian,Biryani",Delhi NCR,Sector 41-- Noida,https://www.zomato.com/ncr/mucchad-paratha-sector-41-noida/info,332,Quick Bites,"12midnight to 4am,11am to 12midnight(Mon-Sun)",Average,3.2,9
The Noida Biryani House,400,"Biryani,North Indian",Delhi NCR,Sector 31-- Noida,https://www.zomato.com/ncr/the-noida-biryani-house-sector-31-noida/info,332,none,11am to 2am(Mon-Sun),Average,3.1,6
Ananya Rasoi,500,"Fast Food,North Indian,Chinese,Indian",Delhi NCR,MG Road-- Gurgaon,https://www.zomato.com/ncr/ananya-rasoi-mg-road-gurgaon/info,332,Quick Bites,9am to 4am(Mon-Sun),Average,3.3,20
Pizza Crunchy,200,Fast Food,Delhi NCR,Kirti Nagar,https://www.zomato.com/ncr/pizza-crunchy-kirti-nagar-new-delhi/info,332,Quick Bites,1130am to 4am(Mon-Sun),Not rated,-,-
Prem Parantha,200,North Indian,Delhi NCR,Hauz Khas Village,https://www.zomato.com/ncr/prem-parantha-hauz-khas-village-new-delhi/info,332,Quick Bites,6am to 1am(Mon-Sun),Not rated,-,-
The Khidki,400,"Burger,Chinese,North Indian",Delhi NCR,MG Road-- Gurgaon,https://www.zomato.com/ncr/the-khidki-mg-road-gurgaon/info,332,none,1pm to 1am(Mon-Sun),Average,3.2,8
Nine Temptations,900,"North Indian,Fast Food,Momos",Delhi NCR,Sector 45-- Gurgaon,https://www.zomato.com/ncr/nine-temptations-sector-45-gurgaon/info,332,none,12noon to 5am(Mon-Sun),Average,3.3,30
Vedika Restaurant,600,"North Indian,Chinese",Delhi NCR,Sector 110-- Noida,https://www.zomato.com/ncr/vedika-restaurant-sector-110-noida/info,332,Quick Bites,11am to 5am(Mon-Sun),Average,2.9,40
Road Runner,850,"Italian,North Indian,Fast Food",Delhi NCR,West Patel Nagar,https://www.zomato.com/ncr/road-runner-west-patel-nagar-new-delhi/info,332,none,6pm to 6am(Mon-Sun),Average,2.9,10
Firangi Tadka,600,"North Indian,Continental",Delhi NCR,Sector 41-- Noida,https://www.zomato.com/ncr/firangi-tadka-sector-41-noida/info,332,Quick Bites,7pm to 3am(Mon-Sun),Good,3.8,82
ETR - Eat Treat Repeat,500,"North Indian,Chinese,Fast Food",Delhi NCR,Sushant Lok,https://www.zomato.com/ncr/etr-eat-treat-repeat-sushant-lok-gurgaon/info,332,none,24,Average,3.1,7
The Non Stop Food,550,"North Indian,Chinese",Delhi NCR,Sector 63-- Noida,https://www.zomato.com/ncr/the-non-stop-food-sector-63-noida/info,332,Casual Dining,12noon to 3am(Mon-Sun),Average,3,15
Spicy Punjabi Tadka,400,North Indian,Delhi NCR,Sector 71-- Noida,https://www.zomato.com/ncr/spicy-punjabi-tadka-sector-71-noida/info,332,none,11am to 4am(Mon-Sun),Average,2.8,37
Soul of Punjab,500,North Indian,Delhi NCR,Sector 40-- Noida,https://www.zomato.com/ncr/soul-of-punjab-sector-40-noida/info,332,Quick Bites,7am to 3am(Mon-Sun),Good,3.6,57
Him Restaurant,300,"Fast Food,Chinese,Momos",Delhi NCR,Sector 10-- Noida,https://www.zomato.com/ncr/him-restaurant-sector-10-noida/info,333,Quick Bites,11am to 230am(Mon-Sun),Average,3.1,14
Night Star,400,"North Indian,Chinese",Delhi NCR,Kamla Nagar,https://www.zomato.com/ncr/night-star-kamla-nagar-new-delhi/info,333,none,"1pm to 2am(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",Average,3,11
Night City,350,"North Indian,Chinese",Delhi NCR,Greater Kailash 1 (GK1),https://www.zomato.com/ncr/night-city-greater-kailash-gk-1-new-delhi/info,333,none,12noon to 330am(Mon-Sun),Average,3.3,50
Pick Up Line,600,"Chinese,Kebab,Rolls",Delhi NCR,Hauz Khas Village,https://www.zomato.com/ncr/pick-up-line-hauz-khas-village-new-delhi/info,333,Quick Bites,"1pm to 1am(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",Good,3.7,37
Pasta Cafe Night,400,"Fast Food,Momos",Delhi NCR,Ashok Vihar Phase 3,https://www.zomato.com/ncr/pasta-cafe-night-ashok-vihar-phase-3-new-delhi/info,333,none,11am to 5am(Mon-Sun),Average,3.4,215
Cafe Late Night,400,Fast Food,Delhi NCR,Kamla Nagar,https://www.zomato.com/ncr/cafe-late-night-kamla-nagar-new-delhi/info,333,none,"Closed(Mon),12midnight to 5am,8pm to 12midnight...",Good,3.5,49
Yumz,600,North Indian,Delhi NCR,Qutab Plaza-- DLF Phase 1,https://www.zomato.com/ncr/yumz-dlf-phase-1-gurgaon/info,333,none,"12noon to 315pm,630pm to 1am(Mon-Sun)",Good,3.8,263
Bala Ji Restaurant,250,North Indian,Delhi NCR,Udyog Vihar,https://www.zomato.com/ncr/bala-ji-restaurant-udyog-vihar-gurgaon/info,333,Quick Bites,10am to 1am(Mon-Sun),Not rated,-,-
Adirav Foodz,300,"North Indian,Chinese,Beverages",Delhi NCR,DLF Phase 3,https://www.zomato.com/ncr/adirav-foodz-dlf-phase-3-gurgaon/info,333,none,"11am to 2am(Mon-Fri),11am to 4am(Sat-Sun)",Average,3.3,11
MeM Thalis & Combos,300,"North Indian,Chinese",Delhi NCR,DLF Phase 2,https://www.zomato.com/ncr/mem-thalis-combos-dlf-phase-2-gurgaon/info,333,none,1230pm to 1am(Mon-Sun),Average,3.3,9
Night Food Hub,300,"North Indian,Chinese",Delhi NCR,Omega 1,https://www.zomato.com/ncr/night-food-hub-omega-1-greater-noida/info,333,none,11am to 4am(Mon-Sun),Average,3.4,20
Tempting Budget Meals,400,North Indian,Delhi NCR,Sector 43-- Gurgaon,https://www.zomato.com/ncr/tempting-budget-meals-sector-43-gurgaon/info,333,none,6am to 4am(Mon-Sun),Not rated,-,-
Burger and Vada Pao,300,"Fast Food,Chinese,North Indian",Delhi NCR,Palam Vihar,https://www.zomato.com/ncr/burger-and-vada-pao-palam-vihar-gurgaon/info,333,Quick Bites,8am to 4am(Mon-Sun),Not rated,-,-
Dil se Licious,250,"Assamese,Bengali,North Indian",Delhi NCR,Sushant Lok,https://www.zomato.com/ncr/dil-se-licious-sushant-lok-gurgaon/info,333,none,1pm to 130am(Mon-Sun),None,NEW,NEW
Bhukka Kukkad,300,"North Indian,Pizza",Delhi NCR,Azadpur,https://www.zomato.com/ncr/bhukka-kukkad-azadpur-new-delhi/info,333,none,9am to 4am(Mon-Sun),None,NEW,NEW
Dee Lazeez,350,"Chinese,North Indian",Delhi NCR,Malviya Nagar,https://www.zomato.com/ncr/dee-lazeez-malviya-nagar-new-delhi/info,334,Quick Bites,12noon to 1am(Mon-Sun),Average,3.4,24
Sethi's,300,North Indian,Delhi NCR,Sector 10-- Noida,https://www.zomato.com/sethis-1/info,334,none,7pm to 3am(Mon-Sun),Not rated,-,-
Zaika,1000,North Indian,Delhi NCR,Karol Bagh,https://www.zomato.com/ncr/zaika-1-karol-bagh-new-delhi/info,334,Casual Dining,24,Not rated,-,-
WTF - World Tastiest Food,800,"North Indian,Chinese",Delhi NCR,Sector 10-- Noida,https://www.zomato.com/ncr/wtf-world-tastiest-food-sector-10-noida/info,334,none,7pm to 3am(Mon-Sun),Average,3.4,14
Delicious Kitchen,400,"North Indian,Chinese",Delhi NCR,Sector 2-- Dwarka,https://www.zomato.com/ncr/delicious-kitchen-sector-2-dwarka-new-delhi/info,334,Quick Bites,12noon to 1am(Mon-Sun),Not rated,-,-
Foodnap,500,Fast Food,Delhi NCR,Paschim Vihar,https://www.zomato.com/ncr/foodnap-paschim-vihar-new-delhi/info,334,none,4pm to 4am(Mon-Sun),Good,3.8,91
Navab's,700,Mughlai,Delhi NCR,Naraina,https://www.zomato.com/ncr/navabs-1-naraina-new-delhi/info,334,none,7pm to 4am(Mon-Sun),Good,3.7,20
24X7 Kitchen,300,"North Indian,Chinese",Delhi NCR,Punjabi Bagh,https://www.zomato.com/ncr/24x7-kitchen-punjabi-bagh-new-delhi/info,334,none,24,Average,3,4
Punjabi Tapdi,350,Fast Food,Delhi NCR,Sector 52-- Noida,https://www.zomato.com/ncr/punjabi-tapdi-sector-52-noida/info,334,none,7pm to 6am(Mon-Sun),Average,3.2,10
Pinjra Restaurant,900,"North Indian,Chinese",Delhi NCR,DLF Phase 5,https://www.zomato.com/ncr/pinjra-restaurant-dlf-phase-5-gurgaon/info,334,none,"12noon to 11pm(Mon,Tue,Wed,Thu,Sun),12noon...",Not rated,-,-
Let's Burrrp,600,"North Indian,Chinese,Biryani",Delhi NCR,Sector 51-- Noida,https://www.zomato.com/ncr/lets-burrrp-sector-51-noida/info,334,none,12noon to 3am(Mon-Sun),Average,2.9,84
Him Restaurant,300,"Fast Food,Chinese,Momos",Delhi NCR,Sector 10-- Noida,https://www.zomato.com/ncr/him-restaurant-sector-10-noida/info,334,Quick Bites,11am to 230am(Mon-Sun),Average,3.1,14
Night Star,400,"North Indian,Chinese",Delhi NCR,Kamla Nagar,https://www.zomato.com/ncr/night-star-kamla-nagar-new-delhi/info,334,none,"1pm to 2am(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",Average,3,11
Night City,350,"North Indian,Chinese",Delhi NCR,Greater Kailash 1 (GK1),https://www.zomato.com/ncr/night-city-greater-kailash-gk-1-new-delhi/info,334,none,12noon to 330am(Mon-Sun),Average,3.3,50
Pick Up Line,600,"Chinese,Kebab,Rolls",Delhi NCR,Hauz Khas Village,https://www.zomato.com/ncr/pick-up-line-hauz-khas-village-new-delhi/info,334,Quick Bites,"1pm to 1am(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",Good,3.7,37
Chopstick,400,Chinese,Delhi NCR,Crossing Republik,https://www.zomato.com/ncr/chopstick-crossing-republik-ghaziabad/info,335,none,11am to 2am(Mon-Sun),None,NEW,NEW
Purani Delhi K Mashor Parathe,400,"North Indian,Chinese",Delhi NCR,Sector 10-- Noida,https://www.zomato.com/ncr/purani-delhi-k-mashor-parathe-sector-10-noida/info,335,none,11am to 4am(Mon-Sun),None,NEW,NEW
Mr & Mrs Biryani,400,Lucknowi,Delhi NCR,Sector 41-- Noida,https://www.zomato.com/ncr/mr-mrs-biryani-sector-41-noida/info,335,none,7pm to 4am(Mon-Sun),None,NEW,NEW
Cafe India,350,North Indian,Delhi NCR,Nizamuddin,https://www.zomato.com/ncr/cafe-india-nizamuddin-new-delhi/info,335,Dhaba,24,None,NEW,NEW
World Of Pizzeria Bistro,400,"Italian,North Indian,Fast Food",Delhi NCR,Raj Nagar,https://www.zomato.com/ncr/world-of-pizzeria-bistro-raj-nagar-ghaziabad/info,335,Quick Bites,"630pm to 3am(Mon-Fri),11am to 3am(Sat-Sun)",None,NEW,NEW
Late Nyt Craving,150,"North Indian,Street Food",Delhi NCR,Tagore Garden,https://www.zomato.com/ncr/late-nyt-craving-tagore-garden-new-delhi/info,335,Quick Bites,6am to 530am(Mon-Sun),None,NEW,NEW
NCR Food Point,300,"North Indian,Chinese",Delhi NCR,Sector 49-- Noida,https://www.zomato.com/ncr/ncr-food-point-sector-49-noida/info,335,Quick Bites,7pm to 3am(Mon-Sun),None,NEW,NEW
Md Hospitality,400,"Chinese,North Indian",Delhi NCR,Sector 31-- Gurgaon,https://www.zomato.com/ncr/md-hospitality-sector-31-gurgaon/info,335,none,7am to 2am(Mon-Sun),None,NEW,NEW
Salt & Curry,300,"North Indian,Chinese",Delhi NCR,Indirapuram,https://www.zomato.com/ncr/salt-curry-indirapuram-ghaziabad/info,335,none,8am to 3am(Mon-Sun),None,NEW,NEW
The Midnight Hunters,500,"North Indian,Chinese",Delhi NCR,Malviya Nagar,https://www.zomato.com/ncr/the-midnight-hunters-malviya-nagar-new-delhi/info,335,none,2pm to 2am(Mon-Sun),None,NEW,NEW
Cakes And Pastries Factory,250,"Bakery,Fast Food,Street Food",Delhi NCR,Sector 7-- Dwarka,https://www.zomato.com/ncr/cakes-and-pastries-factory-sector-7-dwarka-new-delhi/info,335,Bakery,8am to 4am(Mon-Sun),None,NEW,NEW
MD Hospitality,200,"North Indian,Chinese,Mughlai",Delhi NCR,DLF Phase 3,https://www.zomato.com/ncr/md-hospitality-dlf-phase-3-gurgaon/info,335,Quick Bites,7am to 2am(Mon-Sun),None,NEW,NEW
Mr And Mrs Biryani,500,North Indian,Delhi NCR,Sector 63-- Noida,https://www.zomato.com/ncr/mr-and-mrs-biryani-sector-63-noida/info,335,none,"1130am to 4pm,630pm to 1am(Mon-Sun)",None,NEW,NEW
Favorite Flavour,150,"Desserts,Beverages,Fast Food",Delhi NCR,Malviya Nagar,https://www.zomato.com/ncr/favorite-flavour-malviya-nagar-new-delhi/info,335,Quick Bites,8am to 4am(Mon-Sun),None,NEW,NEW
Ncr Da Dhaba,400,"North Indian,Chinese",Delhi NCR,Sector 41-- Noida,https://www.zomato.com/ncr/ncr-da-dhaba-sector-41-noida/info,335,none,7pm to 3am(Mon-Sun),None,NEW,NEW
Meal 8,200,North Indian,Delhi NCR,Sector 41-- Noida,https://www.zomato.com/ncr/meal-8-sector-41-noida/info,336,none,11am to 4am(Mon-Sun),None,NEW,NEW
Foodies Corner & More,300,"Chinese,Italian",Delhi NCR,Sector 14-- Dwarka,https://www.zomato.com/ncr/foodies-corner-more-sector-14-dwarka-new-delhi/info,336,Quick Bites,11am to 4am(Mon-Sun),None,NEW,NEW
