,name,address,phone,online_order,rest_type,cuisines,listed_in(type),book_table,rate,approx_cost(for two people),menu_item,listed_in(city)
4670,Cake Dilim,"ITPL Main Road, Kundanahalli, Brookefield, Bangalore","+91 7483230871
+91 9535677777",Yes,Bakery,"Bakery, Desserts",Delivery,No,3.7 /5,400,"['Eggless Choco Delight Cake [1 kg]', 'Eggless Death By Chocolate Cake [1 kg]', 'Eggless German Chocolate Cake [1 kg]', 'Choco Delight Cake [1 kg]', 'Death By Chocolate Cake [1 kg]', 'German Chocolate Cake [1 kg]', 'Black Forest Pastry', 'Butterscotch Pastry', 'German Choco Pastry', 'Veg Puff', 'Chicken Puff', 'Cup Cakes', 'Choco Chip Muffin', 'Blueberry Muffin', 'Sugar Donuts', 'Chocolate Donuts', 'Chocolate Lava', 'Chocolate Brownie', 'Apple Pie']",Whitefield
4671,Cake Dilim,"ITPL Main Road, Kundanahalli, Brookefield, Bangalore","+91 9972141212
+91 9535677777",Yes,Bakery,Bakery,Desserts,No,3.6/5,400,"['Eggless Black Forest Cake [500 grams]', 'Eggless Choco Chip Cake [500 grams]', 'Eggless Death By Chocolate Cake [500 grams]', 'Eggless German Chocolate Cake [500 grams]', 'Black Forest Cake [500 grams]', 'Death By Chocolate Cake [500 grams]', 'Eggless Black Forest Cake [1 kg]', 'Eggless Choco Delight Cake [500 grams]', 'Eggless Black Forest Cake [500 grams]', 'Eggless Choco Chip Cake [500 grams]', 'Eggless Death By Chocolate Cake [500 grams]', 'Eggless German Chocolate Cake [500 grams]', 'Choco Delight Cake [500 grams]', 'Black Forest Cake [500 grams]', 'Choco Chip Cake [500 grams]', 'Death By Chocolate Cake [500 grams]', 'German Chocolate Cake [500 grams]', 'Eggless Choco Delight Cake [1 kg]', 'Eggless Black Forest Cake [1 kg]', 'Eggless Death By Chocolate Cake [1 kg]', 'Eggless German Chocolate Cake [1 kg]', 'Choco Delight Cake [1 kg]', 'Black Forest Cake [1 kg]', 'Death By Chocolate Cake [1 kg]', 'German Chocolate Cake [1 kg]', 'Eggless Blueberry Fruit Cake [500 grams]', 'Blueberry Fruit Cake [500 grams]', 'Black Forest Pastry', 'Pineapple Pastry', 'Chicken Samosa', 'Veg Puff', 'Egg Puff', 'Cup Cakes', 'Choco Chip Muffin', 'Blueberry Muffin', 'Sugar Donuts', 'Chocolate Donuts', 'Chocolate Lava', 'Chocolate Brownie', 'Apple Pie']",Brookefield
4672,Cake Dilim,"Inside Food Court, Electronic City, Bangalore","+91 9535677777
+91 9886774444",No,Bakery,"Bakery, Desserts",Delivery,No,3.2/5,400,[],Electronic City
4673,Cake Dilim,"Inside Food Court, Electronic City, Bangalore","+91 9535677777
+91 9886774444",No,Bakery,"Bakery, Desserts",Desserts,No,3.2/5,400,[],Electronic City
4674,Cake Dilim,"Rifco Santosh Apartment, 3rd Cross Road, Wind Tunnel Road, Murugeshpalya, Old Airport Road, Bangalore",+91 9972141212,Yes,Bakery,Bakery,Desserts,No,NEW,500,"['Choco Delight Cake [500 grams]', 'Eggless Death By Chocolate Cake [500 grams]', 'Eggless Italian Chocolate Cake [500 grams]', 'Choco Delight Cake [500 grams]', 'Choco Rice Cake [500 grams]', 'Pure Chocolate Cake [500 grams]', 'Chocolate Fantasy Cake [500 grams]', 'Death By Chocolate Cake [500 grams]', 'Italian Chocolate Cake [500 grams]', 'Eggless Choco Delight Cake [500 grams]', 'Eggless Chocolate Fantasy Cake [500 grams]', 'Eggless Death By Chocolate Cake [500 grams]', 'Eggless Italian Chocolate Cake [500 grams]', 'Black Currant Cake [500 grams]', 'Blueberry Cake [500 grams]', 'Eggless Black Currant Cake [500 grams]', 'Veg Puff', 'Egg Puff', 'Cup Cakes', 'Chocolate Tart', 'Choco Chip Muffins', 'Blueberry Muffins', 'Sugar Donut', 'Chocolate Donut', 'Chocolate Lava', 'Chocolate Brownie', 'Apple Pie']",Old Airport Road
4675,Cake Dilim,"Shop 1, 601 & 602, Kasavanahalli Main Road, Opp SJR Verity, Sarjapur Road, Bangalore","+91 9535677777
+91 9972141212",Yes,Bakery,"Bakery, Desserts",Delivery,No,3.6 /5,400,[],Sarjapur Road
4676,Cake Dilim,"Shop 1, 601 & 602, Kasavanahalli Main Road, Opp SJR Verity, Sarjapur Road, Bangalore","+91 9535677777
+91 9972141212",Yes,Bakery,"Bakery, Desserts",Desserts,No,3.6 /5,400,"['Eggless Black Forest Cake [500 grams]', 'Eggless Choco Chip Cake [500 grams]', 'Eggless Death By Chocolate Cake [500 grams]', 'Death By Chocolate Cake [500 grams]', 'Eggless Pineapple Fruit Cake [500 grams]', 'Rich Plum Cake', 'Eggless Choco Delight Cake [500 grams]', 'Eggless Black Forest Cake [500 grams]', 'Eggless Choco Chip Cake [500 grams]', 'Eggless Choco Rice Cake [500 grams]', 'Eggless Chocolate Mocha Cake [500 grams]', 'Eggless Pure Chocolate Cake [500 grams]', 'Eggless Chocolate Fantasy Cake [500 grams]', 'Eggless Choco Vanilla Cake [500 grams]', 'Eggless Chocolate Fudge Cake [500 grams]', 'Eggless Death By Chocolate Cake [500 grams]', 'Eggless Chocolate Strawberry Cake [500 grams]', 'Eggless German Chocolate Cake [500 grams]', 'Eggless Italian Chocolate Cake [500 grams]', 'Eggless Choco Walnut Cake [500 grams]', 'Eggless Flaky Chocolate Cake [500 grams]', 'Eggless Chocolate Punch Cake [500 grams]', 'Eggless Chocolate Walnut Cake [500 grams]', 'Eggless Passion Choco Cake [500 grams]', 'Eggless Velvy Choco Cake [500 grams]', 'Eggless Chocolate Almond Cake [500 grams]', 'Eggless Choco Hazelnut Cake [500 grams]', 'Eggless Belgian Chocolate Cake [500 grams]', 'Choco Delight Cake [500 grams]', 'Black Forest Cake [500 grams]', 'Choco Chip Cake [500 grams]', 'Choco Rice Cake [500 grams]', 'Chocolate Mocha Cake [500 grams]', 'Pure Chocolate Cake [500 grams]', 'Chocolate Fantasy Cake [500 grams]', 'Choco Vanilla Cake [500 grams]', 'Chocolate Fudge Cake [500 grams]', 'Death By Chocolate Cake [500 grams]', 'Chocolate Strawberry Cake [500 grams]', 'German Chocolate Cake [500 grams]', 'Italian Chocolate Cake [500 grams]', 'Choco Walnut Cake [500 grams]', 'Flaky Chocolate Cake [500 grams]', 'Dutch Chocolate Cake [500 grams]', 'Chocolate Punch Cake [500 grams]', 'Chocolate Walnut Cake [500 grams]', 'Passion Choco Cake [500 grams]', 'Chocolate Almond Cake [500 grams]', 'Choco Hazelnut Cake [500 grams]', 'Eggless Choco Delight Cake [1 kg]', 'Eggless Black Forest Cake [1 kg]', 'Eggless Choco Chip Cake [1 kg]', 'Eggless Choco Rice Cake [1 kg]', 'Eggless Chocolate Mocha Cake [1 kg]', 'Eggless Pure Chocolate Cake [1 kg]', 'Eggless Chocolate Fantasy Cake [1 kg]', 'Eggless Choco Vanilla Cake [1 kg]', 'Eggless Chocolate Fudge Cake [1 kg]', 'Eggless Death By Chocolate Cake [1 kg]', 'Eggless Chocolate Strawberry Cake [1 kg]', 'Eggless German Chocolate Cake [1 kg]', 'Eggless Italian Chocolate Cake [1 kg]', 'Eggless Choco Walnut Cake [1 kg]', 'Eggless Flaky Chocolate Cake [1 kg]', 'Eggless Dutch Chocolate Cake [1 kg]', 'Eggless Chocolate Punch Cake [1 kg]', 'Eggless Chocolate Walnut Cake [1 kg]', 'Eggless Passion Choco Cake [1 kg]', 'Eggless Velvy Choco Cake [1 kg]', 'Eggless Chocolate Almond Cake [1 kg]', 'Eggless Choco Hazelnut Cake [1 kg]', 'Eggless Belgian Chocolate Cake [1 kg]', 'Choco Delight Cake [1 kg]', 'Black Forest Cake [1 kg]', 'Choco Chip Cake [1 kg]', 'Choco Rice Cake [1 kg]', 'Chocolate Mocha Cake [1 kg]', 'Pure Chocolate Cake [1 kg]', 'Chocolate Fantasy Cake [1 kg]', 'Choco Vanilla Cake [1 kg]', 'Chocolate Fudge Cake [1 kg]', 'Death By Chocolate Cake [1 kg]', 'Chocolate Strawberry Cake [1 kg]', 'German Chocolate Cake [1 kg]', 'Italian Chocolate Cake [1 kg]', 'Choco Walnut Cake [1 kg]', 'Flaky Chocolate Cake [1 kg]', 'Dutch Chocolate Cake [1 kg]', 'Chocolate Punch Cake [1 kg]', 'Chocolate Walnut Cake [1 kg]', 'Passion Choco Cake [1 kg]', 'Velvy Choco Cake [1 kg]', 'Chocolate Almond Cake [1 kg]', 'Choco Hazelnut Cake [1 kg]', 'Belgian Chocolate Cake [1 kg]', 'Eggless Pineapple Fruit Cake [500 grams]', 'Eggless Mango Delight Fruit Cake [500 grams]', 'Eggless Blackcurrant Fruit Cake [500 grams]', 'Eggless Fruit of Forest Cake [500 grams]', 'Eggless Strawberry Gateau Fruit Cake [500 grams]', 'Eggless White Forest Fruit Cake [500 grams]', 'Eggless Fig and Honey Fruit Cake [500 grams]', 'Eggless Peach Exotica Fruit Cake [500 grams]', 'Eggless Litchi Fruit Cake [500 grams]', 'Eggless Blueberry Fruit Cake [500 grams]', 'Eggless Fresh Fruit Cake [500 grams]', 'Eggless Kiwi Fruit Cake [500 grams]', 'Pineapple Fruit Cake [500 grams]', 'Mango Delight Fruit Cake [500 grams]', 'Blackcurrant Fruit Cake [500 grams]', 'Fruit of Forest Cake [500 grams]', 'Strawberry Gateau Fruit Cake [500 grams]', 'White Forest Fruit Cake [500 grams]', 'Fig and Honey Fruit Cake [500 grams]', 'Peach Exotica Fruit Cake [500 grams]', 'Litchi Fruit Cake [500 grams]', 'Blueberry Fruit Cake [500 grams]', 'Fresh Fruit Cake [500 grams]', 'Kiwi Fruit Cake [500 grams]', 'Eggless Pineapple Fruit Cake [1 kg]', 'Eggless Mango Delight Fruit Cake [1 kg]', 'Eggless Blackcurrant Fruit Cake [1 kg]', 'Eggless Fruit of Forest Fruit Cake [1 kg]', 'Eggless Strawberry Gateau Fruit Cake [1 kg]', 'Eggless White Forest Fruit Cake [1 kg]', 'Eggless Fig and Honey Fruit Cake [1 kg]', 'Eggless Peach Exotica Fruit Cake [1 kg]', 'Eggless Litchi Fruit Cake [1 kg]', 'Eggless Blueberry Fruit Cake [1 kg]', 'Eggless Fresh Fruit Cake [1 kg]', 'Eggless Kiwi Fruit Cake [1 kg]', 'Pineapple Fruit Cake [1 kg]', 'Mango Delight Fruit Cake [1 kg]', 'Blackcurrant Fruit Cake [1 kg]', 'Fruit of Forest Fruit Cake [1 kg]', 'White Forest Fruit Cake [1 kg]', 'Fig and Honey Fruit Cake [1 kg]', 'Peach Exotica Fruit Cake [1 kg]', 'Litchi Fruit Cake [1 kg]', 'Blueberry Fruit Cake [1 kg]', 'Fresh Fruit Cake [1 kg]', 'Kiwi Fruit Cake [1 kg]', 'Eggless Mango Cheese Cake [1 kg]', 'Eggless Pineapple Cheese Cake [1 kg]', 'Eggless Strawberry Cheese Cake [1 kg]', 'Eggless Oreo Cheese Cake [1 kg]', 'Eggless Blueberry Cheese Cake [1 kg]', 'Eggless Vanilla Cheese Cake [1 kg]', 'Eggless Mixed Fruit Cheese Cake [1 kg]', 'Eggless Double Chocolate Cheese Cake [1 kg]', 'Mango Cheese Cake [1 kg]', 'Pineapple Cheese Cake [1 kg]', 'Strawberry Cheese Cake [1 kg]', 'Oreo Cheese Cake [1 kg]', 'Blueberry Cheese Cake [1 kg]', 'Vanilla Cheese Cake [1 kg]', 'Mixed Fruit Cheese Cake [1 kg]', 'Double Chocolate Cheese Cake [1 kg]', 'Eggless Choco Vanilla Mousse Cake [1 kg]', 'Vanilla Mousse Cake [1 kg]', 'Butterscotch Mousse Cake [1 kg]', 'Chocolate Mousse Cake [1 kg]', 'Piramys Mousse Cake [1 kg]', 'Eggless Butterscotch Cake [500 grams]', 'Eggless Coconut Venni Cake [500 grams]', 'Eggless Irish Coffee Cake [500 grams]', 'Eggless Whiskey Chocolate Cake [500 grams]', 'Eggless Rum and Raisin Cake [500 grams]', 'Eggless Honey Almond Cake [500 grams]', 'Eggless Coffee Walnut Cake [500 grams]', 'Eggless Red Velvet Cake [500 grams]', 'Eggless Ferrero Rocher Cake [500 grams]', 'Butterscotch Cake [500 grams]', 'Coconut Venni Cake [500 grams]', 'Irish Coffee Cake [500 grams]', 'Whiskey Chocolate Cake [500 grams]', 'Rum and Raisin Cake [500 grams]', 'Honey Almond Cake [500 grams]', 'Coffee Walnut Cake [500 grams]', 'Red Velvet Cake [500 grams]', 'Ferrero Rocher Cake [500 grams]', 'Eggless Butterscotch Cake [1 kg]', 'Eggless Coconut Venni Cake [1 kg]', 'Eggless Irish Coffee Cake [1 kg]', 'Eggless Whiskey Chocolate Cake [1 kg]', 'Eggless Rum and Raisin Cake [1 kg]', 'Eggless Honey Almond Cake [1 kg]', 'Eggless Coffee Walnut Cake [1 kg]', 'Eggless Red Velvet Cake [1 kg]', 'Eggless Ferrero Rocher Cake [1 kg]', 'Butterscotch Cake [1 kg]', 'Coconut Venni Cake [1 kg]', 'Irish Coffee Cake [1 kg]', 'Whiskey Chocolate Cake [1 kg]', 'Rum and Raisin Cake [1 kg]', 'Honey Almond Cake [1 kg]', 'Coffee Walnut Cake [1 kg]', 'Red Velvet Cake [1 kg]', 'Ferrero Rocher Cake [1 kg]', 'Black Forest Pastry', 'Pineapple Pastry', 'Butterscotch Pastry', 'German Choco Pastry', 'Choco Rice Pastry', 'Choco Chip Pastry', 'Italian Choco Pastry', 'Death By Choco Pastry', 'Fresh Fruit Pastry', 'Irish Coffee Pastry', 'Red Velvet Pastry', 'Blueberry Pastry', 'Mango Pastry', 'Strawberry Cheese Cake Pastry', 'Blueberry Cheese Cake Pastry', 'Triple Layer Cheese Pastry', 'Red Velvet Cheese Pastry', 'Cap Cheese Pastry', 'Tiramisu Cheese Pastry', 'Aloo Samosa', 'Chicken Samosa', 'Veg Puff', 'Aloo Puff', 'Veg Cheese Puff', 'Paneer Puff', 'Egg Puff', 'Chicken Puff', 'Choco Chip Muffin', 'Blueberry Muffin', 'Sugar Donuts', 'Chocolate Donuts', 'Chocolate Lava', 'Chocolate Brownie', 'Apple Pie']",Sarjapur Road
4677,Cake Dilim,"Shop 1, 601 & 602, Kasavanahalli Main Road, Opp SJR Verity, Sarjapur Road, Bangalore","+91 9535677777
+91 9972141212",Yes,Bakery,Bakery,Delivery,No,3.6/5,400,[],Bellandur
4678,Cake Fantasy,"662, 5th Cross Road, Koramangala 4th Block, Bangalore",+91 9886107294,Yes,"Dessert Parlor, Bakery","Desserts, Bakery",Delivery,No,,300,[],BTM
4679,Cake Fantasy,"662, 5th Cross Road, Koramangala 4th Block, Bangalore",+91 9886107294,Yes,"Dessert Parlor, Bakery","Desserts, Bakery",Desserts,No,,300,[],Koramangala 4th Block
4680,Cake Gallery,"3, YMS Complex, Opposite Ramaiah College, Mathikere, Yeshwantpur, Bangalore",+91 9739678940,Yes,Bakery,Bakery,Delivery,No,3.6 /5,300,[],Malleshwaram
4681,Cake Genie,"726, CMH Road, Indiranagar, Bangalore","080 40925748
+91 9972566644",No,Dessert Parlor,"Desserts, Fast Food",Delivery,No,3.9/5,300,[],Indiranagar
4682,Cake Genie,"726, CMH Road, Indiranagar, Bangalore","080 40925748
+91 9972566644",No,Dessert Parlor,"Desserts, Fast Food",Desserts,No,3.9/5,300,[],Indiranagar
4683,Cake Ghar,"24, Next to Roti Ghar, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",+91 9902773562,Yes,Bakery,Bakery,Delivery,No,3.8/5,400,[],Banashankari
4684,Cake Ghar,"24, Next to Roti Ghar, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",+91 9902773562,Yes,Bakery,Bakery,Desserts,No,3.8/5,400,[],Banashankari
4685,Cake House - Story Cafe,"5 AM - 401, 1st Floor, Near Axis Bank, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",+91 8105395198,No,Quick Bites,"Bakery, Desserts",Delivery,No,3.9/5,650,[],Kalyan Nagar
4686,Cake House - Story Cafe,"5 AM - 401, 1st Floor, Near Axis Bank, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",+91 8105395198,No,Quick Bites,"Bakery, Desserts",Desserts,No,3.9/5,650,[],Kalyan Nagar
4687,Cake House - Story Cafe,"5 AM - 401, 1st Floor, Near Axis Bank, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",+91 8105395198,No,Quick Bites,"Bakery, Desserts",Dine-out,No,3.9/5,650,[],Kalyan Nagar
4688,Cake Inc.,"10/3, Embassy Golf Link Junction Road, Domlur, Bangalore",+91 9741875568,No,Bakery,"Bakery, Desserts",Delivery,No,,450,[],Indiranagar
4689,Cake Inc.,"10/3, Embassy Golf Link Junction Road, Domlur, Bangalore",+91 9741875568,No,Bakery,"Bakery, Desserts",Desserts,No,-,450,[],Indiranagar
4690,Cake Mane,"42, Opposite Railway Gate, Chinnapanhal, Marathahalli, Bangalore","+91 7348915797
+91 9980692596",No,Bakery,Bakery,Delivery,No,,400,[],Marathahalli
4691,Cake Mane,"42, Opposite Railway Gate, Chinnapanhal, Marathahalli, Bangalore","+91 7348915797
+91 9980692596",No,Bakery,Bakery,Desserts,No,,400,[],Marathahalli
4692,Cake Mane,"42, Opposite Railway Gate, Chinnapanhal, Marathahalli, Bangalore","+91 7348915797
+91 9980692596",No,Bakery,Bakery,Delivery,No,,400,[],Brookefield
4693,Cake Mane,"42, Opposite Railway Gate, Chinnapanhal, Marathahalli, Bangalore","+91 7348915797
+91 9980692596",No,Bakery,Bakery,Desserts,No,,400,[],Brookefield
4694,Cake Menu,"22/37, Maruti Nilaya, Anand Nagar, Outer Ring Road, Marathahalli, Bangalore",+91 9108080111,Yes,Bakery,Bakery,Delivery,No,3.5/5,400,"['Black Currant Cake', 'Black Forest Cake', 'Eggless Classic Pineapple Cake', 'Eggless Butter Scotch Cake', 'Eggless Mix Fruit Cake', 'Eggless Classic Pineapple Cake', 'Eggless Mango Delight Cake', 'Eggless Strawberry Shock Cake', 'Eggless Butter Scotch Cake', 'Eggless Irish Coffee Cake', 'Eggless Black Currant Cake', 'Eggless Kiwi Gateaux Cake', 'Eggless Lychee Cake', 'Eggless White Forest Cake', 'Eggless Blueberry Geteaux Cake', 'Eggless Mix Fruit Cake', 'Eggless Rasberry Riple Cake', 'Eggless German Chocolate Cake', 'Vanilla Classic Cake', 'Classic Pineapple Cake', 'Mango Delight Cake', 'Strawberry Shock Cake', 'Butter Scotch Cake', 'Irish Coffee Cake', 'Black Currant Cake', 'Black Forest Cake', 'Kiwi Gateaux Cake', 'Lychee Cake', 'White Forest Cake', 'Blueberry Geteaux Cake', 'Mix Fruit Cake', 'Rasberry Riple Cake']",Brookefield
4695,Cake Menu,"22/37, Maruti Nilaya, Anand Nagar, Outer Ring Road, Marathahalli, Bangalore",+91 9108080111,Yes,Bakery,Bakery,Desserts,No,3.5/5,400,"['Black Currant Cake', 'Black Forest Cake', 'Eggless Classic Pineapple Cake', 'Eggless Butter Scotch Cake', 'Eggless Mix Fruit Cake', 'Eggless Classic Pineapple Cake', 'Eggless Mango Delight Cake', 'Eggless Strawberry Shock Cake', 'Eggless Butter Scotch Cake', 'Eggless Irish Coffee Cake', 'Eggless Black Currant Cake', 'Eggless Kiwi Gateaux Cake', 'Eggless Lychee Cake', 'Eggless White Forest Cake', 'Eggless Blueberry Geteaux Cake', 'Eggless Mix Fruit Cake', 'Eggless Rasberry Riple Cake', 'Eggless German Chocolate Cake', 'Vanilla Classic Cake', 'Classic Pineapple Cake', 'Mango Delight Cake', 'Strawberry Shock Cake', 'Butter Scotch Cake', 'Irish Coffee Cake', 'Black Currant Cake', 'Black Forest Cake', 'Kiwi Gateaux Cake', 'Lychee Cake', 'White Forest Cake', 'Blueberry Geteaux Cake', 'Mix Fruit Cake', 'Rasberry Riple Cake']",Brookefield
4696,Cake Menu,"4, Near Electronic City Bus Stop, Hosur Main Road, Phase 2, Electronic City, Bangalore",+91 9108080777,Yes,Bakery,Bakery,Delivery,No,3.3/5,400,[],Electronic City
4697,Cake Menu,"4, Near Electronic City Bus Stop, Hosur Main Road, Phase 2, Electronic City, Bangalore",+91 9108080777,Yes,Bakery,Bakery,Desserts,No,3.3/5,400,[],Electronic City
4698,Cake Menu,"55/8, Gurumoorthy Building, Opposite To Nandi Toyota, Beside Puravankar, Kudlu Gate, Bommanahalli, Bangalore",+91 9844374437,Yes,Bakery,Bakery,Delivery,No,3.2/5,400,[],HSR
4699,Cake Menu,"55/8, Gurumoorthy Building, Opposite To Nandi Toyota, Beside Puravankar, Kudlu Gate, Bommanahalli, Bangalore",+91 9844374437,Yes,Bakery,Bakery,Desserts,No,3.2/5,400,[],HSR
4700,Cake My Day,"67/1A, 4th Cross, Lavelle Road, Bangalore",+91 9845017007,No,Delivery,Desserts,Delivery,No,,450,[],Brigade Road
4701,Cake My Day,"67/1A, 4th Cross, Lavelle Road, Bangalore",+91 9845017007,No,Delivery,Desserts,Desserts,No,,450,[],Brigade Road
4702,Cake N Cookies,"12, 3rd Floor, 15th Main 17th Cross, Rose Garden Road, JP Nagar 5th Phase, Bangalore","+91 9845155844
+91 9845387783",No,Bakery,Bakery,Desserts,No,,350,[],BTM
4703,Cake N Cookies,"12, 3rd Floor, 15th Main 17th Cross, Rose Garden Road, JP Nagar 5th Phase, Bangalore","+91 9845155844
+91 9845387783",No,Bakery,Bakery,Delivery,No,,350,[],Bannerghatta Road
4704,Cake N Cookies,"12, 3rd Floor, 15th Main 17th Cross, Rose Garden Road, JP Nagar 5th Phase, Bangalore","+91 9845155844
+91 9845387783",No,Bakery,Bakery,Desserts,No,,350,[],Bannerghatta Road
4705,Cake N Cream,"478, 10th Main, Jeevan Bhima Nagar, Bangalore","+91 7406020266
+91 7022762266",No,Bakery,"Bakery, Desserts",Desserts,No,-,360,[],Indiranagar
4706,Cake Of Day,"3, RV Road, Opposite Bangalore Hospital, Basavanagudi, Bangalore","080 22977747
+91 7760822224",No,Bakery,Bakery,Desserts,No,NEW,150,[],Basavanagudi
4707,Cake Of The Day,"166/2, 4th Main, 7th Cross, Chamrajpet, Basavanagudi, Bangalore",080 22977750,No,Bakery,Bakery,Delivery,No,3.2/5,150,[],Basavanagudi
4708,Cake Of The Day,"166/2, 4th Main, 7th Cross, Chamrajpet, Basavanagudi, Bangalore",080 22977750,No,Bakery,Bakery,Desserts,No,3.2/5,150,[],Basavanagudi
4709,Cake Palace,"8, Old Binnamangala, Off 100 Feet Road, Indiranagar, Bangalore",+91 9972743102,Yes,Dessert Parlor,Bakery,Delivery,No,3.4/5,100,[],Indiranagar
4710,Cake Palace,"8, Old Binnamangala, Off 100 Feet Road, Indiranagar, Bangalore",+91 9972743102,Yes,Dessert Parlor,Bakery,Desserts,No,3.4/5,100,[],Indiranagar
4711,Cake Paradise,"106, 8th Cross Road, Malleshwaram, Bangalore",080 23566121,No,Bakery,Bakery,Desserts,No,,300,[],Malleshwaram
